Name,Title,Date of latest revision,Status in the IETF process,Associated group,Associated AD,Date of latest change
b'draft-ietf-oauth-v2',b'The OAuth 2.0 Authorization Framework',b'2012-08-01',b'RFC 6749 (Proposed Standard)',b'oauth',b'Stephen Farrell',b'2020-04-16'
b'draft-ietf-oauth-saml2-bearer',b'Security Assertion Markup Language (SAML) 2.0 Profile for OAuth 2.0 Client Authentication and Authorization Grants',b'2014-11-12',b'RFC 7522 (Proposed Standard)',b'oauth',b'Kathleen Moriarty',b'2015-10-14'
b'draft-ietf-oauth-v2-bearer',b'The OAuth 2.0 Authorization Framework: Bearer Token Usage',b'2012-08-01',b'RFC 6750 (Proposed Standard)',b'oauth',b'Stephen Farrell',b'2020-04-16'
b'draft-ietf-oauth-v2-threatmodel',b'OAuth 2.0 Threat Model and Security Considerations',b'2012-10-06',b'RFC 6819 (Informational)',b'oauth',b'Stephen Farrell',b'2020-01-31'
b'draft-ietf-oauth-assertions',b'Assertion Framework for OAuth 2.0 Client Authentication and Authorization Grants',b'2014-10-21',b'RFC 7521 (Proposed Standard)',b'oauth',b'Kathleen Moriarty',b'2018-12-20'
b'draft-ietf-oauth-urn-sub-ns',b'An IETF URN Sub-Namespace for OAuth',b'2012-07-16',b'RFC 6755 (Informational)',b'oauth',b'Stephen Farrell',b'2015-10-14'
b'draft-ietf-oauth-jwt-bearer',b'JSON Web Token (JWT) Profile for OAuth 2.0 Client Authentication and Authorization Grants',b'2014-11-12',b'RFC 7523 (Proposed Standard)',b'oauth',b'Kathleen Moriarty',b'2015-10-14'
b'draft-ietf-oauth-json-web-token',b'JSON Web Token (JWT)',b'2014-12-09',b'RFC 7519 (Proposed Standard)',b'oauth',b'Kathleen Moriarty',b'2019-03-09'
b'draft-ietf-oauth-dyn-reg',b'OAuth 2.0 Dynamic Client Registration Protocol',b'2015-05-28',b'RFC 7591 (Proposed Standard)',b'oauth',b'Kathleen Moriarty',b'2015-10-14'
b'draft-ietf-oauth-revocation',b'OAuth 2.0 Token Revocation',b'2013-07-13',b'RFC 7009 (Proposed Standard)',b'oauth',b'Stephen Farrell',b'2015-10-14'
b'draft-ietf-oauth-dyn-reg-management',b'OAuth 2.0 Dynamic Client Registration Management Protocol',b'2015-05-05',b'RFC 7592 (Experimental)',b'oauth',b'Kathleen Moriarty',b'2015-10-14'
b'draft-ietf-oauth-proof-of-possession',b'Proof-of-Possession Key Semantics for JSON Web Tokens (JWTs)',b'2015-12-18',b'RFC 7800 (Proposed Standard)',b'oauth',b'Kathleen Moriarty',b'2020-05-31'
b'draft-ietf-oauth-token-exchange',b'OAuth 2.0 Token Exchange',b'2019-07-21',b'RFC 8693 (Proposed Standard)',b'oauth',b'Roman Danyliw',b'2020-01-15'
b'draft-ietf-oauth-jwsreq',b'The OAuth 2.0 Authorization Framework: JWT Secured Authorization Request (JAR)',b'2021-04-08',b'RFC Ed Queue',b'oauth',b'Roman Danyliw',b'2021-04-21'
b'draft-ietf-oauth-spop',b'Proof Key for Code Exchange by OAuth Public Clients',b'2015-07-10',b'RFC 7636 (Proposed Standard)',b'oauth',b'Kathleen Moriarty',b'2020-01-21'
b'draft-ietf-oauth-introspection',b'OAuth 2.0 Token Introspection',b'2015-07-03',b'RFC 7662 (Proposed Standard)',b'oauth',b'Kathleen Moriarty',b'2015-10-20'
